,data_id,dataname,tasktype,trial,modelname,perf,datasize,num_prep_features,feature_sample_ratio,cat_ratio,y_imbalance_full,num_classes,highfreq_ratio_quan,cor_full,avg_cardinality,FLAG_datasize,FLAG_tasktype,FLAG_featuredim,FLAG_featurecomp_1,FLAG_featurecomp_2,FLAG_imbalance,FLAG_irregularity,FLAG_corr,FLAG_card,FLAG_fsratio,FLAG_numclass,FLAG_overall,flag,max,min,norm_perf
4822,44064,NP,regression,0,t2g,-0.8647907230485696,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.9574917460248036
4823,44064,NP,regression,1,xgb,-0.8653524417276065,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.9544421447795814
4824,44064,NP,regression,1,catb,-0.8582098164893525,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.9932198454928328
4825,44064,NP,regression,1,lgbm,-0.8862214206481299,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.8411433237190737
4826,44064,NP,regression,1,mlp,-0.9055455199142556,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.7362317382866349
4827,44064,NP,regression,1,ftt,-0.8740915964498357,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.9069967987056441
4828,44064,NP,regression,1,resnet,-0.8799322285890189,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.875287689307542
4829,44064,NP,regression,1,t2g,-0.8706818363672812,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.9255085715587315
4830,44064,NP,regression,2,catb,-0.8579667758396313,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.9945393263925957
4831,44064,NP,regression,2,lgbm,-0.907027272669939,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.728187222023456
4832,44064,NP,regression,2,ftt,-0.8775409521018459,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.8882700593534462
4833,44064,NP,regression,2,resnet,-0.8788011615234151,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.8814283138949406
4834,44064,NP,regression,2,t2g,-0.8719259828270752,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.9187540327929351
4835,44064,NP,regression,3,catb,-0.8571626300894784,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.998905077385978
4836,44064,NP,regression,3,ftt,-0.8766116898550331,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.8933150746089068
4837,44064,NP,regression,3,lgbm,-0.9194981017522584,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.660482412983453
