,data_id,modelname,perf,ensemble,min,max,flag,norm_perf
107,43466,t2g,-0.0017578749776994,1,-0.1749387979015766,-0.0002913337971979,-1,0.9916028486985359
108,43919,resnet,-1.492578025963627,1,-3.195245196466079,-1.0356368190940453,-1,0.7884147831350699
109,43919,ftt,-1.2886862465807822,1,-3.195245196466079,-1.0356368190940453,-1,0.8828262428789678
110,43919,t2g,-1.2577244508620578,1,-3.195245196466079,-1.0356368190940453,-1,0.897163006915974
111,315,mlp,-0.1385584891534156,1,-0.2004400182369763,-0.1278972293357928,-1,0.8530348780476945
112,315,resnet,-0.1397237841207532,1,-0.2004400182369763,-0.1278972293357928,-1,0.8369713245920236
113,315,ftt,-0.1451706532373648,1,-0.2004400182369763,-0.1278972293357928,-1,0.761886409893869
114,315,t2g,-0.1410499153291278,1,-0.2004400182369763,-0.1278972293357928,-1,0.818690648752816
115,422,mlp,-0.0263600880725543,1,-0.0276208339068512,-0.0262739677210513,-1,0.9360587173314086
116,422,resnet,-0.026900469400405,1,-0.0276208339068512,-0.0262739677210513,-1,0.5348448970217312
117,422,ftt,-0.0266245581610938,1,-0.0276208339068512,-0.0262739677210513,-1,0.739699129921889
118,422,t2g,-0.0264162659853566,1,-0.0276208339068512,-0.0262739677210513,-1,0.8943486251228525
119,503,mlp,-2.8340955905662897,1,-3.819992648739493,-2.8207818060882683,-1,0.9866757005531529
120,503,resnet,-2.845811704345844,1,-3.819992648739493,-2.8207818060882683,-1,0.9749503336141113
121,503,ftt,-2.99525680689209,1,-3.819992648739493,-2.8207818060882683,-1,0.8253872022236229
122,503,t2g,-2.907245260479005,1,-3.819992648739493,-2.8207818060882683,-1,0.9134682584495163
123,41700,mlp,-442.01249628828367,1,-498.2822838261461,-403.2330862850914,-1,0.592006971058938
124,41700,resnet,-455.8341769492498,1,-498.2822838261461,-403.2330862850914,-1,0.4465909021331995
125,41700,ftt,-449.20742703121016,1,-498.2822838261461,-403.2330862850914,-1,0.5163100590485153
126,41700,t2g,-462.47852990706497,1,-498.2822838261461,-403.2330862850914,-1,0.3766865459712734
127,43926,mlp,-26168.509930830984,1,-26168.509930830984,-15870.372396386923,-1,0.0
128,43926,resnet,-23381.16712228028,1,-26168.509930830984,-15870.372396386923,-1,0.2706647487691741
129,43926,ftt,-19344.242347530697,1,-26168.509930830984,-15870.372396386923,-1,0.6626700760671761
130,43926,t2g,-19494.841984484,1,-26168.509930830984,-15870.372396386923,-1,0.648046107757412
131,507,mlp,-0.1042947642152052,1,-0.1200673457378651,-0.091187304757689,-1,0.5461412445185432
132,507,resnet,-0.1018707293217915,1,-0.1200673457378651,-0.091187304757689,-1,0.6300758516431524
133,507,ftt,-0.1125690913629547,1,-0.1200673457378651,-0.091187304757689,-1,0.2596344783602406
134,507,t2g,-0.1200673457378651,1,-0.1200673457378651,-0.091187304757689,-1,0.0
135,44055,mlp,-0.1013341316907473,1,-0.4472513590868159,-0.0516400667156005,-1,0.8743866367481817
136,44055,resnet,-0.1002576758476591,1,-0.4472513590868159,-0.0516400667156005,-1,0.8771076304706715
137,44055,ftt,-0.0998021672298289,1,-0.4472513590868159,-0.0516400667156005,-1,0.8782590349594058
138,44055,t2g,-0.1119367168791558,1,-0.4472513590868159,-0.0516400667156005,-1,0.8475861247484895
139,44061,mlp,-9.307710990717252,1,-266506203.20430085,-9.178981635922574,-1,0.9999999995169742
140,44061,resnet,-157.13467054568193,1,-266506203.20430085,-9.178981635922574,-1,0.9999994448320818
141,44061,ftt,-115.98067339674527,1,-266506203.20430085,-9.178981635922574,-1,0.999999599252497
142,44061,t2g,-1213.788542127499,1,-266506203.20430085,-9.178981635922574,-1,0.9999954799941334
143,42727,mlp,-0.0886520884615863,1,-0.1057915780140441,-0.0798394271367731,-1,0.6604265532175458
144,42727,resnet,-0.1003762067838644,1,-0.1057915780140441,-0.0798394271367731,-1,0.20866753032491428
145,42727,ftt,-0.1024290811999226,1,-0.1057915780140441,-0.0798394271367731,-1,0.12956524605698047
146,42727,t2g,-0.0979942718295744,1,-0.1057915780140441,-0.0798394271367731,-1,0.30044932388623735
147,344,mlp,-0.0672171290349394,1,-2.783915187349878,-0.024487270030019,-1,0.9845149573443387
148,344,resnet,-0.1111245091894636,1,-2.783915187349878,-0.024487270030019,-1,0.9686031881406808
149,344,ftt,-0.028382962703898,1,-2.783915187349878,-0.024487270030019,-1,0.9985882245195001
150,344,t2g,-0.0385739984385319,1,-2.783915187349878,-0.024487270030019,-1,0.9948950547611352
151,44136,mlp,-0.6575313048652106,1,-0.721946863007548,-0.5833868703715297,-1,0.46489290968389324
152,44136,resnet,-0.6471000574738264,1,-0.721946863007548,-0.5833868703715297,-1,0.5401761656435408
153,44136,ftt,-0.6919350622308359,1,-0.721946863007548,-0.5833868703715297,-1,0.2165978808583639
154,44136,t2g,-0.6877663486566256,1,-0.721946863007548,-0.5833868703715297,-1,0.24668386379545226
155,562,mlp,-3.0178920940526046,1,-10.723946205244603,-2.6072351959012243,-1,0.9494059973702819
156,562,resnet,-2.90047397686418,1,-10.723946205244603,-2.6072351959012243,-1,0.9638722161445195
157,562,ftt,-3.1777915457076777,1,-10.723946205244603,-2.6072351959012243,-1,0.9297059672138542
158,562,t2g,-3.010576202142821,1,-10.723946205244603,-2.6072351959012243,-1,0.9503073343652003
159,189,mlp,-0.0609498744254064,1,-0.2663337843884773,-0.0585819331810131,-1,0.9886020691000792
160,189,resnet,-0.0604426097646504,1,-0.2663337843884773,-0.0585819331810131,-1,0.9910437544944944
161,189,ftt,-0.060320891994123,1,-0.2663337843884773,-0.0585819331810131,-1,0.9916296350525736
162,189,t2g,-0.0589217660526612,1,-0.2663337843884773,-0.0585819331810131,-1,0.9983642366136669
163,44056,mlp,-0.1908272042098819,1,-3.3201813795341617,-0.0623664407771683,-1,0.9605684282724398
164,44056,resnet,-0.466355645966486,1,-3.3201813795341617,-0.0623664407771683,-1,0.8759938140183438
